"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"Caxton & Papworth",294321,296301,299128,309421,306826,309098,308414,309636,307626,319681,326600,332654,352035,342628,353399,358871,378397,370408,355672,331936,315777,321899,329676,347292
"Cottenham",283967,294250,292306,294862,326249,324540,338545,347519,328846,329721,342072,360253,370126,381048,378802,368295,366714,354779,349815,343640,349073,363045,355235,361497
"Duxford",409645,460356,476977,464682,472854,467698,472771,460809,458037,436337,461783,477674,494435,507142,478283,487531,457406,473708,468138,462192,508595,510825,531452,524238
"Fen Ditton & Fulbourn",336383,372441,390005,407138,395421,385744,386652,388824,386194,381649,397316,403302,410172,421985,411854,408687,427203,440077,455626,484566,464554,452596,441431,403165
"Foxton",405535,481035,492784,500306,525812,470995,473431,515477,534334,541963,553023,545243,529512,537044,507870,476424,513670,530696,564326,589585,566686,543484,525550,502554
"Gamlingay",249106,255035,266272,271631,296794,320535,355435,398239,359873,345783,314137,302521,309976,293754,314432,318022,339164,378010,364689,387556,401179,379375,395080,394162
"Girton",381957,420828,426516,472408,475892,466036,497168,468420,494740,495586,470024,465494,456148,454601,455054,465651,464762,463581,468864,451118,465997,493436,497526,536371
"Hardwick",279530,284554,291133,278818,321276,354208,345161,358810,360140,342115,359160,362794,395884,452257,439109,420105,391750,331986,355953,370328,400720,414100,417826,429072
"Harston & Comberton",421466,404450,390773,437847,455259,476800,513957,521528,534547,538805,536912,541715,534713,528874,504854,491525,504828,512827,516796,562572,558616,549572,554252,514693
"Histon & Impington",313930,330663,344025,358726,372924,380370,379698,375051,401006,401540,409475,399200,397330,396415,396938,410635,402905,404482,398480,400649,397789,394405,409638,403570
"Linton",322634,320625,341243,341692,363790,372411,383606,390326,389431,406091,399613,409229,421974,406149,426513,437904,437815,438652,413643,431781,454245,473357,493186,477563
"Longstanton",300446,319755,319091,320616,319423,318274,323937,340324,348782,349297,348363,368510,363927,363077,376694,367553,370995,373785,370114,369079,376176,380065,383354,396895
"Melbourn",337299,338947,364906,393174,433815,434800,421966,408079,393947,412316,452287,471200,471863,485085,463519,448966,447026,419889,406822,415131,423027,451429,457781,452407
"Milton & Waterbeach",273991,285569,287939,295488,294844,309534,336285,352956,367732,358951,357949,373934,380411,385751,387493,382990,387125,388086,384215,389279,382412,382111,385414,367823
"Over & Willingham",270357,280821,280320,286449,290219,290968,297162,304855,321465,329673,328567,336466,352210,346738,351370,347550,334603,340595,347121,357938,355685,354678,355977,343569
"Sawston",273722,281316,287121,301868,315662,309664,320248,308661,309108,312981,318240,364864,366392,379419,369398,354627,333080,343218,349098,348969,368970,365698,364876,358883
"Shelford",516488,550239,562015,600540,612369,577686,591189,593121,614346,639249,653789,667603,661674,646121,623307,616947,548313,569694,568191,530193,569969,555387,568234,704302
"Swavesey",284945,284426,289211,311917,328140,322702,344059,362689,376080,404431,403521,418354,407338,396267,387307,355312,327387,325154,323395,347367,372303,361421,376776,367454
"The Mordens",400100,381242,403016,408924,427533,437415,439627,446954,479736,480100,492189,578744,563112,578397,534193,500179,501927,516943,574292,603929,584734,556074,520433,518934
"Whittlesford",381149,391342,374240,433701,394484,423355,423073,367637,385695,371483,359865,418149,457474,532092,589023,605685,613434,542078,497604,487325,553090,555333,574886,558700
"Bottisham",347816,357484,358608,388937,414613,402081,420438,409567,406067,386267,398045,400576,403873,421255,422237,412190,417761,433294,405250,408360,377676,352266,364820,375827
"Burwell",249831,249210,245836,238465,265089,280053,302165,310790,321547,339577,335073,337245,329153,316252,325463,330112,331256,340935,338091,342823,352276,343063,340966,335792
"Downham Villages",259798,254115,256054,265435,263710,276327,276963,281603,302527,295860,309265,316645,321014,322222,303655,298982,281320,298450,308483,322532,333313,335074,361364,370667
"Ely East",245148,245040,252906,257390,258249,271415,271346,284120,285711,298791,301618,286978,297059,283480,287136,287647,283010,292054,299894,320954,339342,348241,349062,335771
"Ely North",242146,238170,245592,249273,248463,259937,260807,265145,277358,283977,303932,307181,302675,297629,291796,300691,310964,319066,322644,320451,334159,349828,348781,352752
"Ely West",271071,277913,272233,279164,282865,295369,307280,306335,318020,326005,328178,343126,351784,344130,347075,352410,346957,354483,360499,367785,372146,371217,360602,337178
"Fordham & Isleham",258656,269585,283860,292062,292425,293319,292087,314740,328999,350580,360246,352276,338432,330556,336610,335150,331144,355853,355048,344179,360027,342586,331597,351941
"Haddenham",263777,258423,277675,251386,269800,296742,299433,314260,338463,312251,305327,309317,310234,331058,341509,337799,316939,325106,336048,333847,347899,314452,301591,310433
"Littleport",174860,178807,180045,194415,209598,214545,220556,222537,222811,221339,219064,218529,219782,231167,233743,237025,238166,235263,239500,240644,248247,247028,245618,254636
"Soham North",171122,174188,181102,191918,196086,196846,200956,204944,220206,224983,228963,233528,229042,231186,238300,243771,248021,253768,247277,244152,244410,241790,246354,246316
"Soham South",200269,210785,213870,225747,225976,233771,246435,241358,255299,253452,256091,254880,269880,270663,278653,283132,272819,284240,281747,290283,290754,291510,296843,298513
"Stretham",246437,249489,250605,249189,260911,281934,287489,301573,307719,298222,315114,314247,312652,320552,320972,332693,331393,332194,325594,309058,321444,341655,349524,357758
"Sutton",224321,231642,230384,229696,234165,242562,248565,253394,258586,261045,263451,264567,260426,248020,244396,258938,269974,279390,283100,281116,291585,293238,291407,282092
"Woodditton",363493,353325,349738,360283,386369,394406,396529,408960,396100,393991,405561,399038,417949,427798,440460,437084,417396,431480,407490,444752,457246,426336,437682,411908
